"Libellé";"Indice de prix de production de l'industrie française pour le marché français − CPF 35.11 et 35.14 − Électricité tarif de détail pour les ménages ";"Codes"
"idBank";"010764284";""
"Dernière mise à jour";"15/01/2025 15:02";""
"Période";"";""
"2024-11";"143.9";"P"
"2024-10";"147.4";"P"
"2024-09";"148.7";"P"
"2024-08";"149.5";"A"
"2024-07";"148.9";"A"
"2024-06";"146.6";"A"
"2024-05";"142.6";"A"
"2024-04";"140.0";"A"
"2024-03";"137.9";"A"
"2024-02";"135.3";"A"
"2024-01";"125.4";"A"
"2023-12";"129.7";"A"
"2023-11";"134.3";"A"
"2023-10";"138.3";"A"
"2023-09";"135.8";"A"
"2023-08";"133.6";"A"
"2023-07";"129.7";"A"
"2023-06";"125.1";"A"
"2023-05";"120.9";"A"
"2023-04";"118.0";"A"
"2023-03";"110.8";"A"
"2023-02";"104.7";"A"
"2023-01";"102.1";"A"
"2022-12";"106.0";"A"
"2022-11";"111.1";"A"
"2022-10";"114.4";"A"
"2022-09";"114.5";"A"
"2022-08";"115.1";"A"
"2022-07";"115.2";"A"
"2022-06";"112.2";"A"
"2022-05";"107.7";"A"
"2022-04";"104.7";"A"
"2022-03";"96.0";"A"
"2022-02";"88.1";"A"
"2022-01";"93.4";"A"
"2021-12";"96.2";"A"
"2021-11";"101.4";"A"
"2021-10";"105.8";"A"
"2021-09";"107.7";"A"
"2021-08";"108.0";"A"
"2021-07";"105.7";"A"
"2021-06";"102.5";"A"
"2021-05";"98.0";"A"
"2021-04";"95.9";"A"
"2021-03";"93.9";"A"
"2021-02";"92.7";"A"
"2021-01";"92.3";"A"
"2020-12";"93.9";"A"
"2020-11";"98.0";"A"
"2020-10";"101.6";"A"
"2020-09";"104.1";"A"
"2020-08";"102.9";"A"
"2020-07";"101.0";"A"
"2020-06";"98.9";"A"
"2020-05";"95.9";"A"
"2020-04";"93.7";"A"
"2020-03";"91.1";"A"
"2020-02";"90.2";"A"
"2020-01";"89.1";"A"
"2019-12";"91.9";"A"
"2019-11";"96.2";"A"
"2019-10";"100.7";"A"
"2019-09";"102.1";"A"
"2019-08";"102.5";"A"
"2019-07";"97.0";"A"
"2019-06";"91.7";"A"
"2019-05";"84.6";"A"
"2019-04";"83.4";"A"
"2019-03";"82.3";"A"
"2019-02";"82.3";"A"
"2019-01";"82.0";"A"
"2018-12";"84.3";"A"
"2018-11";"88.3";"A"
"2018-10";"91.9";"A"
"2018-09";"94.0";"A"
"2018-08";"94.0";"A"
"2018-07";"93.0";"A"
"2018-06";"90.9";"A"
"2018-05";"87.3";"A"
"2018-04";"84.0";"A"
"2018-03";"81.9";"A"
"2018-02";"81.1";"A"
"2018-01";"81.3";"A"
"2017-12";"82.1";"A"
"2017-11";"84.6";"A"
"2017-10";"87.0";"A"
"2017-09";"88.5";"A"
"2017-08";"90.0";"A"
"2017-07";"88.4";"A"
"2017-06";"86.8";"A"
"2017-05";"83.3";"A"
"2017-04";"81.6";"A"
"2017-03";"79.3";"A"
"2017-02";"78.3";"A"
"2017-01";"78.3";"A"
"2016-12";"79.8";"A"
"2016-11";"79.8";"A"
"2016-10";"79.8";"A"
"2016-09";"88.1";"A"
"2016-08";"88.1";"A"
"2016-07";"88.2";"A"
"2016-06";"85.0";"A"
"2016-05";"85.0";"A"
"2016-04";"85.0";"A"
"2016-03";"79.7";"A"
"2016-02";"79.7";"A"
"2016-01";"79.7";"A"
"2015-12";"78.9";"A"
"2015-11";"80.6";"A"
"2015-10";"80.8";"A"
"2015-09";"80.5";"A"
"2015-08";"83.3";"A"
"2015-07";"80.0";"A"
"2015-06";"81.4";"A"
"2015-05";"81.2";"A"
"2015-04";"79.0";"A"
"2015-03";"80.8";"A"
"2015-02";"79.6";"A"
"2015-01";"77.9";"A"
